Datum	Baden-Württemberg	Bayern	Berlin	Brandenburg	Bremen	Hamburg	Hessen	Mecklenburg-Vorpommern	Niedersachsen	Nordrhein-Westfalen	Rheinland-Pfalz	Saarland	Sachsen	Sachsen-Anhalt	Schleswig-Holstein	Thüringen	Deutschland
2020-09-21	1.638	2.629	801	70	82	277	730	41	871	2.708	340	60	254	94	180	130	10.905
2020-09-22	1.690	2.636	854	70	84	296	748	57	822	2.839	357	56	294	90	195	133	11.221
2020-09-23	1.561	2.500	857	69	93	313	762	52	804	2.885	354	67	280	93	199	114	11.003
2020-09-24	1.500	2.437	881	85	90	337	752	57	804	2.905	325	55	309	104	210	131	10.982
2020-09-25	1.387	2.294	943	102	105	317	790	49	761	2.900	364	49	293	104	237	124	10.819
2020-09-26	1.407	2.257	914	104	132	362	847	46	864	2.991	349	59	339	90	257	113	11.131
2020-09-27	1.205	2.194	999	108	153	384	984	38	788	3.086	348	60	336	115	243	109	11.150
2020-09-28	1.518	2.130	1.055	108	154	405	987	38	722	3.237	410	59	341	143	241	108	11.656
2020-09-29	1.636	2.148	991	125	162	420	1.012	47	883	3.384	424	52	330	146	251	83	12.094
2020-09-30	1.616	2.025	995	110	188	427	1.042	45	872	3.468	447	37	318	123	267	85	12.065
2020-10-01	1.576	2.087	1.103	131	213	410	1.015	54	810	3.696	422	47	327	138	268	96	12.393
2020-10-02	1.666	2.061	1.119	120	231	407	1.042	58	828	3.867	452	64	286	146	238	102	12.687
2020-10-03	1.481	2.043	1.253	138	238	391	1.120	67	958	3.946	483	91	275	129	233	108	12.954
2020-10-04	1.732	2.108	1.374	158	234	428	1.160	59	953	3.905	458	83	300	131	226	143	13.452
2020-10-05	1.762	2.130	1.420	183	249	445	1.294	56	1.021	3.986	489	83	321	138	243	145	13.965
2020-10-06	1.818	2.096	1.518	185	249	485	1.288	123	1.113	4.388	551	148	301	145	239	156	14.803
2020-10-07	1.956	2.131	1.590	186	270	507	1.383	103	1.148	4.550	574	164	382	124	247	158	15.473
2020-10-08	2.291	2.372	1.687	225	337	500	1.446	119	1.233	4.851	667	140	424	129	245	147	16.813
2020-10-09	2.498	2.750	1.873	225	367	549	1.625	102	1.350	5.136	653	165	549	129	286	180	18.437
2020-10-10	2.621	3.034	1.967	266	326	540	1.883	116	1.451	5.820	755	175	676	123	302	193	20.248
2020-10-11	2.869	3.166	2.142	285	452	558	1.999	90	1.405	6.128	771	235	737	158	310	222	21.527
2020-10-12	3.183	3.358	2.278	306	463	534	2.051	84	1.292	6.602	913	259	799	176	312	222	22.832
2020-10-13	3.504	3.596	2.219	294	482	513	2.142	116	1.776	7.118	937	262	857	168	342	257	24.583
2020-10-14	3.595	3.776	2.604	436	462	533	2.323	154	1.768	7.446	1.005	367	883	151	354	306	26.163
2020-10-15	3.838	4.193	2.612	473	469	563	2.620	194	1.838	8.085	1.065	425	1.072	168	365	347	28.327
2020-10-16	4.226	4.647	2.710	512	498	603	2.940	225	2.192	8.940	1.097	442	1.033	179	355	376	30.975
2020-10-17	4.683	5.131	2.882	497	533	486	3.372	203	2.421	9.402	1.292	585	1.260	210	387	398	33.742
2020-10-18	4.740	5.748	3.075	567	493	714	3.465	256	2.449	9.819	1.303	651	1.290	312	384	432	35.698
2020-10-19	5.138	6.220	3.226	579	513	792	3.671	268	2.531	9.942	1.449	667	1.544	318	450	456	37.764
2020-10-20	5.277	6.685	3.102	596	520	742	4.055	274	2.738	11.160	1.612	660	1.633	346	552	482	40.434
2020-10-21	5.419	7.213	3.399	577	563	852	4.395	283	2.573	12.027	1.624	577	1.704	366	597	520	42.689
2020-10-22	5.938	8.051	3.785	723	604	859	4.800	309	2.879	12.702	1.854	620	1.956	412	685	594	46.771
2020-10-23	6.803	8.753	3.882	675	508	975	5.063	318	2.973	13.363	2.067	686	2.146	505	742	664	50.123
2020-10-24	7.496	9.767	4.139	804	685	1.164	5.903	389	3.441	15.703	2.348	700	2.219	534	882	692	56.866
2020-10-25	8.352	10.446	4.389	887	783	1.312	6.544	431	3.552	17.224	2.377	895	2.662	623	974	878	62.329
2020-10-26	8.938	11.447	4.499	897	826	1.382	6.853	451	4.107	18.808	2.676	901	2.900	671	1.055	909	67.320
